fitted prop,lower CI,upper CI,log.ag,ag
0.582679524,0.546071246,0.619287801,-6.907755279,0.1
0.583635556,0.547421587,0.619849526,-6.839140347,0.107102371
0.584591589,0.548771093,0.620412084,-6.770525415,0.114709179
0.585547621,0.550119738,0.620975504,-6.701910482,0.122856251
0.586503654,0.551467492,0.621539815,-6.63329555,0.131581958
0.587459686,0.552814325,0.622105048,-6.564680618,0.140927398
0.588415719,0.554160205,0.622671232,-6.496065686,0.150936585
0.589371751,0.5555051,0.623238402,-6.427450754,0.161656661
0.590327784,0.556848975,0.623806592,-6.358835822,0.173138118
0.591283816,0.558191795,0.624375837,-6.290220889,0.18543503
0.592239849,0.559533522,0.624946176,-6.221605957,0.198605314
0.593195881,0.560874116,0.625517646,-6.152991025,0.212711001
0.594151914,0.562213537,0.62609029,-6.084376093,0.227818526
0.595107946,0.563551743,0.62666415,-6.015761161,0.243999043
0.596063979,0.564888688,0.62723927,-5.947146228,0.261328761
0.597020011,0.566224325,0.627815697,-5.878531296,0.2798893
0.597976044,0.567558606,0.628393481,-5.809916364,0.299768078
0.598932076,0.56889148,0.628972672,-5.741301432,0.321058719
0.599888109,0.570222893,0.629553325,-5.6726865,0.343861502
0.600844141,0.571552788,0.630135494,-5.604071568,0.368283822
0.601800174,0.572881107,0.63071924,-5.535456635,0.394440707
0.602756206,0.574207789,0.631304624,-5.466841703,0.42245535
0.603712239,0.575532767,0.63189171,-5.398226771,0.452459698
0.604668271,0.576855976,0.632480567,-5.329611839,0.484595066
0.605624304,0.578177343,0.633071264,-5.260996907,0.519012807
0.606580336,0.579496795,0.633663878,-5.192381974,0.555875023
0.607536369,0.580814253,0.634258485,-5.123767042,0.595355331
0.608492401,0.582129634,0.634855168,-5.05515211,0.637639677
0.609448434,0.583442854,0.635454014,-4.986537178,0.682927215
0.610404466,0.584753821,0.636055111,-4.917922246,0.731431241
0.611360499,0.586062442,0.636658556,-4.849307314,0.783380204
0.612316531,0.587368615,0.637264448,-4.780692381,0.839018775
0.613272564,0.588672238,0.63787289,-4.712077449,0.898609003
0.614228596,0.5899732,0.638483993,-4.643462517,0.962431551
0.615184629,0.591271385,0.639097872,-4.574847585,1.030787013
0.616140661,0.592566674,0.639714648,-4.506232653,1.103997334
0.617096694,0.59385894,0.640334448,-4.43761772,1.182407324
0.618052726,0.595148048,0.640957405,-4.369002788,1.266386283
0.619008759,0.59643386,0.641583658,-4.300387856,1.356329739
0.619964792,0.597716229,0.642213354,-4.231772924,1.452661313
0.620920824,0.598995001,0.642846647,-4.163157992,1.555834713
0.621876857,0.600270015,0.643483698,-4.094543059,1.666335871
0.622832889,0.601541102,0.644124676,-4.025928127,1.784685231
0.623788922,0.602808085,0.644769758,-3.957313195,1.911440203
0.624744954,0.604070779,0.645419129,-3.888698263,2.047197783
0.625700987,0.60532899,0.646072983,-3.820083331,2.192597371
0.626657019,0.606582516,0.646731522,-3.751468399,2.348323777
0.627613052,0.607831146,0.647394957,-3.682853466,2.515110451
0.628569084,0.609074658,0.64806351,-3.614238534,2.693742934
0.629525117,0.610312824,0.648737409,-3.545623602,2.885062559
0.630481149,0.611545404,0.649416894,-3.47700867,3.089970414
0.631437182,0.61277215,0.650102213,-3.408393738,3.309431586
0.632393214,0.613992805,0.650793624,-3.339778805,3.544479705
0.633349247,0.615207101,0.651491392,-3.271163873,3.796221814
0.634305279,0.616414764,0.652195794,-3.202548941,4.065843583
0.635261312,0.61761551,0.652907114,-3.133934009,4.35461489
0.636217344,0.618809047,0.653625642,-3.065319077,4.663895808
0.637173377,0.619995076,0.654351678,-2.996704145,4.995143005
0.638129409,0.621173291,0.655085527,-2.928089212,5.349916609
0.639085442,0.622343382,0.655827501,-2.85947428,5.72988755
0.640041474,0.623505033,0.656577915,-2.790859348,6.136845439
0.640997507,0.624657925,0.657337088,-2.722244416,6.572706988
0.641953539,0.625801739,0.65810534,-2.653629484,7.039525042
0.642909572,0.626936153,0.658882991,-2.585014551,7.539498248
0.643865604,0.62806085,0.659670359,-2.516399619,8.074981408
0.644821637,0.629175515,0.660467759,-2.447784687,8.64849657
0.645777669,0.630279841,0.661275498,-2.379169755,9.262744908
0.646733702,0.631373527,0.662093877,-2.310554823,9.920619443
0.647689734,0.632456286,0.662923183,-2.241939891,10.62521867
0.648645767,0.633527842,0.663763692,-2.173324958,11.37986115
0.649601799,0.634587937,0.664615661,-2.104710026,12.18810114
0.650557832,0.635636332,0.665479332,-2.036095094,13.05374534
0.651513864,0.636672807,0.666354921,-1.967480162,13.9808708
0.652469897,0.637697169,0.667242625,-1.89886523,14.97384416
0.653425929,0.638709248,0.668142611,-1.830250297,16.03734217
0.654381962,0.639708903,0.669055021,-1.761635365,17.17637376
0.655337994,0.640696024,0.669979965,-1.693020433,18.3963036
0.656294027,0.641670531,0.670917523,-1.624405501,19.70287738
0.657250059,0.642632375,0.671867744,-1.555790569,21.10224889
0.658206092,0.643581542,0.672830642,-1.487175637,22.60100896
0.659162125,0.644518049,0.6738062,-1.418560704,24.20621653
0.660118157,0.645441948,0.674794366,-1.349945772,25.92543191
0.66107419,0.64635332,0.675795059,-1.28133084,27.76675234
0.662030222,0.647252279,0.676808165,-1.212715908,29.73885019
0.662986255,0.648138969,0.67783354,-1.144100976,31.85101375
0.663942287,0.64901356,0.678871014,-1.075486043,34.11319101
0.66489832,0.649876249,0.67992039,-1.006871111,36.53603649
0.665854352,0.650727256,0.680981448,-0.938256179,39.13096146
0.666810385,0.651566823,0.682053946,-0.869641247,41.91018764
0.667766417,0.65239521,0.683137624,-0.801026315,44.88680477
0.66872245,0.653212693,0.684232206,-0.732411383,48.07483231
0.669678482,0.654019562,0.685337403,-0.66379645,51.4892854
0.670634515,0.654816116,0.686452914,-0.595181518,55.14624563
0.671590547,0.655602664,0.687578431,-0.526566586,59.06293675
0.67254658,0.656379521,0.688713638,-0.457951654,63.25780582
0.673502612,0.657147006,0.689858219,-0.389336722,67.75061006
0.674458645,0.657905438,0.691011851,-0.320721789,72.56250995
0.675414677,0.658655138,0.692174216,-0.252106857,77.71616883
0.67637071,0.659396425,0.693344995,-0.183491925,83.23585969
0.677326742,0.660129613,0.694523871,-0.114876993,89.1475795
0.678282775,0.660855013,0.695710536,-0.046262061,95.4791716
